county,Year,Month,ndvi
Sierra,2008,1,0.1356
Sacramento,2008,1,0.50355
Santa Barbara,2008,1,0.62285
Calaveras,2008,1,0.63995
Ventura,2008,1,0.45415
Los Angeles,2008,1,0.48860000000000003
Sonoma,2008,1,0.8501000000000001
Kings,2008,1,0.15685000000000002
San Diego,2008,1,0.2876
Placer,2008,1,0.7906500000000001
San Francisco,2008,1,
Marin,2008,1,0.6970500000000001
Mariposa,2008,1,0.7365
Lassen,2008,1,0.0019500000000000001
Napa,2008,1,0.6579
Shasta,2008,1,0.6643
Monterey,2008,1,0.316
Trinity,2008,1,0.6273500000000001
Mendocino,2008,1,0.8529
Inyo,2008,1,0.1661
Mono,2008,1,0.04465
Tuolumne,2008,1,0.2931
Solano,2008,1,0.3362
San Bernardino,2008,1,0.07605
Contra Costa,2008,1,0.4373
Alpine,2008,1,0.23190000000000002
El Dorado,2008,1,0.7332500000000001
Yolo,2008,1,0.30535
Yuba,2008,1,0.5832
San Benito,2008,1,0.44065000000000004
Humboldt,2008,1,0.70045
Riverside,2008,1,0.11315
Kern,2008,1,0.41365
Colusa,2008,1,0.2656
Del Norte,2008,1,0.7484000000000001
Modoc,2008,1,-0.021650000000000003
Fresno,2008,1,0.40305
Madera,2008,1,0.4471
Santa Clara,2008,1,0.45695
Tehama,2008,1,0.45965
San Joaquin,2008,1,0.2908
Alameda,2008,1,0.68065
Nevada,2008,1,0.6222500000000001
Butte,2008,1,0.50825
Merced,2008,1,0.2727
Tulare,2008,1,0.47415
Stanislaus,2008,1,0.56405
Orange,2008,1,0.41355000000000003
Imperial,2008,1,0.6365000000000001
Sutter,2008,1,-0.023100000000000002
Amador,2008,1,0.6912
Lake,2008,1,0.6755
Plumas,2008,1,0.7251000000000001
San Mateo,2008,1,0.5698500000000001
Siskiyou,2008,1,0.445
Santa Cruz,2008,1,0.76095
Glenn,2008,1,0.30585
San Luis Obispo,2008,1,0.48425
Sierra,2008,2,0.17815
Sacramento,2008,2,0.5047
Santa Barbara,2008,2,0.7025
Calaveras,2008,2,0.6475500000000001
Ventura,2008,2,0.60655
Los Angeles,2008,2,0.53115
Sonoma,2008,2,0.8536
Kings,2008,2,0.25470000000000004
San Diego,2008,2,0.37365000000000004
Placer,2008,2,0.6903
San Francisco,2008,2,
Marin,2008,2,0.6897500000000001
Mariposa,2008,2,0.7196
Lassen,2008,2,-0.010450000000000001
Napa,2008,2,0.69365
Shasta,2008,2,0.6567000000000001
Monterey,2008,2,0.48510000000000003
Trinity,2008,2,0.5169
Mendocino,2008,2,0.84435
Inyo,2008,2,0.16140000000000002
Mono,2008,2,-0.0608
Tuolumne,2008,2,0.1411
Solano,2008,2,0.3163
San Bernardino,2008,2,0.08815
Contra Costa,2008,2,0.45895
Alpine,2008,2,0.1458
El Dorado,2008,2,0.6938000000000001
Yolo,2008,2,0.37510000000000004
Yuba,2008,2,0.6112000000000001
San Benito,2008,2,0.5225500000000001
Humboldt,2008,2,0.76665
Riverside,2008,2,0.1603
Kern,2008,2,0.528
Colusa,2008,2,0.3153
Del Norte,2008,2,0.775
Modoc,2008,2,-0.045950000000000005
Fresno,2008,2,0.47400000000000003
Madera,2008,2,0.5405
Santa Clara,2008,2,0.56925
Tehama,2008,2,0.52775
San Joaquin,2008,2,0.335
Alameda,2008,2,0.7135
Nevada,2008,2,0.3559
Butte,2008,2,0.5659500000000001
Merced,2008,2,0.2497
Tulare,2008,2,0.57815
Stanislaus,2008,2,0.61075
Orange,2008,2,0.4529
Imperial,2008,2,0.6838500000000001
Sutter,2008,2,0.1772
Amador,2008,2,0.654
Lake,2008,2,0.69375
Plumas,2008,2,0.42105000000000004
San Mateo,2008,2,0.5796
Siskiyou,2008,2,0.38675000000000004
Santa Cruz,2008,2,0.7532500000000001
Glenn,2008,2,0.3991
San Luis Obispo,2008,2,0.51985
Sierra,2008,3,0.14425000000000002
Sacramento,2008,3,0.544
Santa Barbara,2008,3,0.66205
Calaveras,2008,3,0.6644
Ventura,2008,3,0.6943
Los Angeles,2008,3,0.5967
Sonoma,2008,3,0.8542500000000001
Kings,2008,3,0.25220000000000004
San Diego,2008,3,0.38865
Placer,2008,3,0.7557
San Francisco,2008,3,
Marin,2008,3,0.7302000000000001
Mariposa,2008,3,0.6948500000000001
Lassen,2008,3,0.007850000000000001
Napa,2008,3,0.65475
Shasta,2008,3,0.5753
Monterey,2008,3,0.73685
Trinity,2008,3,0.6533
Mendocino,2008,3,0.8325
Inyo,2008,3,0.1925
Mono,2008,3,-0.049350000000000005
Tuolumne,2008,3,0.1245
Solano,2008,3,0.3934
San Bernardino,2008,3,0.08815
Contra Costa,2008,3,0.4525
Alpine,2008,3,0.21915
El Dorado,2008,3,0.68305
Yolo,2008,3,0.58945
Yuba,2008,3,0.6777000000000001
San Benito,2008,3,0.62365
Humboldt,2008,3,0.76515
Riverside,2008,3,0.14555
Kern,2008,3,0.43635
Colusa,2008,3,0.40745000000000003
Del Norte,2008,3,0.78625
Modoc,2008,3,0.1355
Fresno,2008,3,0.46790000000000004
Madera,2008,3,0.63165
Santa Clara,2008,3,0.6553
Tehama,2008,3,0.6163500000000001
San Joaquin,2008,3,0.4651
Alameda,2008,3,0.71835
Nevada,2008,3,0.45675000000000004
Butte,2008,3,0.611
Merced,2008,3,0.3146
Tulare,2008,3,0.6933
Stanislaus,2008,3,0.625
Orange,2008,3,0.3683
Imperial,2008,3,0.6778500000000001
Sutter,2008,3,0.25415
Amador,2008,3,0.63685
Lake,2008,3,0.6871
Plumas,2008,3,0.46845000000000003
San Mateo,2008,3,0.6702
Siskiyou,2008,3,0.48895
Santa Cruz,2008,3,0.75575
Glenn,2008,3,0.50165
San Luis Obispo,2008,3,0.5482
Sierra,2008,4,0.07060000000000001
Sacramento,2008,4,0.48525
Santa Barbara,2008,4,0.6908000000000001
Calaveras,2008,4,0.6677500000000001
Ventura,2008,4,0.67055
Los Angeles,2008,4,0.60755
Sonoma,2008,4,0.8190000000000001
Kings,2008,4,0.5395
San Diego,2008,4,0.4052
Placer,2008,4,0.78315
San Francisco,2008,4,
Marin,2008,4,0.6688000000000001
Mariposa,2008,4,0.6964
Lassen,2008,4,0.3552
Napa,2008,4,0.68165
Shasta,2008,4,0.72185
Monterey,2008,4,0.67615
Trinity,2008,4,0.73445
Mendocino,2008,4,0.8072
Inyo,2008,4,0.21860000000000002
Mono,2008,4,0.11670000000000001
Tuolumne,2008,4,0.4904
Solano,2008,4,0.22825
San Bernardino,2008,4,0.08495
Contra Costa,2008,4,0.50105
Alpine,2008,4,0.14145000000000002
El Dorado,2008,4,0.67115
Yolo,2008,4,0.5488500000000001
Yuba,2008,4,0.64265
San Benito,2008,4,0.6474000000000001
Humboldt,2008,4,0.75095
Riverside,2008,4,0.12895
Kern,2008,4,0.2691
Colusa,2008,4,0.3554
Del Norte,2008,4,0.74795
Modoc,2008,4,0.25295
Fresno,2008,4,0.34405
Madera,2008,4,0.56205
Santa Clara,2008,4,0.6427
Tehama,2008,4,0.5561
San Joaquin,2008,4,0.37835
Alameda,2008,4,0.7247
Nevada,2008,4,0.6796
Butte,2008,4,0.5632
Merced,2008,4,0.23390000000000002
Tulare,2008,4,0.7080000000000001
Stanislaus,2008,4,0.50715
Orange,2008,4,0.28285
Imperial,2008,4,0.7011000000000001
Sutter,2008,4,0.22605
Amador,2008,4,0.68095
Lake,2008,4,0.6672
Plumas,2008,4,0.7300500000000001
San Mateo,2008,4,0.7243
Siskiyou,2008,4,0.4565
Santa Cruz,2008,4,0.75375
Glenn,2008,4,0.4913
San Luis Obispo,2008,4,0.5574
Sierra,2008,5,0.37605
Sacramento,2008,5,0.3524
Santa Barbara,2008,5,0.6535500000000001
Calaveras,2008,5,0.63595
Ventura,2008,5,0.5602
Los Angeles,2008,5,0.5879
Sonoma,2008,5,0.8280000000000001
Kings,2008,5,0.52415
San Diego,2008,5,0.35775
Placer,2008,5,0.7923
San Francisco,2008,5,
Marin,2008,5,0.5286000000000001
Mariposa,2008,5,0.6858500000000001
Lassen,2008,5,0.45180000000000003
Napa,2008,5,0.62305
Shasta,2008,5,0.75885
Monterey,2008,5,0.4
Trinity,2008,5,0.7364
Mendocino,2008,5,0.7955
Inyo,2008,5,0.21095
Mono,2008,5,0.2058
Tuolumne,2008,5,0.5757
Solano,2008,5,0.1418
San Bernardino,2008,5,0.0835
Contra Costa,2008,5,0.40900000000000003
Alpine,2008,5,0.48625
El Dorado,2008,5,0.6884
Yolo,2008,5,0.40940000000000004
Yuba,2008,5,0.5239
San Benito,2008,5,0.47615
Humboldt,2008,5,0.78215
Riverside,2008,5,0.12235
Kern,2008,5,0.22495
Colusa,2008,5,0.45725000000000005
Del Norte,2008,5,0.7494500000000001
Modoc,2008,5,0.28405
Fresno,2008,5,0.32585000000000003
Madera,2008,5,0.42800000000000005
Santa Clara,2008,5,0.44830000000000003
Tehama,2008,5,0.40055
San Joaquin,2008,5,0.35775
Alameda,2008,5,0.6222500000000001
Nevada,2008,5,0.731
Butte,2008,5,0.45465
Merced,2008,5,0.28340000000000004
Tulare,2008,5,0.55745
Stanislaus,2008,5,0.4576
Orange,2008,5,0.33495
Imperial,2008,5,0.631
Sutter,2008,5,0.12715
Amador,2008,5,0.6287
Lake,2008,5,0.7113
Plumas,2008,5,0.7080000000000001
San Mateo,2008,5,0.7116
Siskiyou,2008,5,0.3786
Santa Cruz,2008,5,0.70955
Glenn,2008,5,0.35265
San Luis Obispo,2008,5,0.4994
Sierra,2008,6,0.56155
Sacramento,2008,6,0.34065
Santa Barbara,2008,6,0.6488
