"UNIT_ID","FIRE_NAME","ALARM_DATE","CONT_DATE","CAUSE","REPORT_AC","GIS_ACRES","SHAPE_Length","SHAPE_Area"
"Santa Barbara County","DRUM","2020-06","2020/06/17 00:00:00+00","2.0","696.0","695.47058","18011.6201144936","4167186.65348212"
"Santa Barbara County","TWITCHELL","2020-06","2020/06/06 00:00:00+00","1.0","28.0","28.684549","3330.0078902437","173213.107669972"
"Santa Barbara County","BALLARD","2020-10","2020/10/31 00:00:00+00","14.0","17.0","17.29714","2112.36366216319","103688.501840584"
"Santa Barbara County","GAREY","2020-11","2020/12/01 00:00:00+00","2.0","12.0","12.15279","2428.6889848412","73228.830233212"
"Santa Barbara County","HOLLISTER","2020-05","2020/05/10 00:00:00+00","11.0","156.0","157.01781","5267.79834483534","937233.686730198"
"Santa Barbara County","KIRSCHEMANN","2020-05","2020/05/28 00:00:00+00","2.0","29.0","28.75139","1724.02976094512","173394.857356438"
"Santa Barbara County","VIEW","2020-06","2020/06/07 00:00:00+00","11.0","77.0","77.05925","3887.79850999818","461807.961555672"
"Santa Barbara County","GATO","2020-07","2020/07/31 00:00:00+00","14.0","10.0","10.23549","1351.12687393325","61602.990374867"
"Santa Barbara County","LITO","2020-09","2020/09/07 00:00:00+00","9.0","26.0","25.822439","1976.45196414771","154580.936147012"
"Santa Barbara County","DUTARD","2020-11","2020/11/23 00:00:00+00","14.0","14.0","13.63339","1360.38213832814","82188.7317273722"
"Santa Barbara County","CLARK","2020-12","2020/12/16 00:00:00+00","7.0","19.0","18.82918","2217.94200818258","113445.046794125"
"Santa Barbara County","DOLAN","2020-08","2020/12/31 00:00:00+00","14.0","124924.0","124527.31","255261.397082853","772950527.937133"
"Santa Barbara County","COLEMAN","2020-10","2020/11/15 00:00:00+00","14.0","574.0","562.91351","14566.2435185305","3497453.66323624"
"Santa Barbara County","RIDGE","2020-06","2020/06/20 00:00:00+00","10.0","83.0","82.712967","4049.04263833323","511365.798530123"
"Santa Barbara County","GIFFORD ","2020-06","2020/06/10 00:00:00+00","10.0","16.8","16.801912","2249.64929078529","101776.982606988"
"Santa Barbara County","33","2020-05","2020/05/24 00:00:00+00","2.0","33.62","33.667461","3052.42860726468","202790.224835049"
"Santa Barbara County","166","2020-08","2020/08/04 00:00:00+00","14.0","","120.71979","4938.81241733197","728607.069012178"
"Shasta County","HORN","2020-06","2020/06/03 00:00:00+00","14.0","","25.201567","3307.50548939935","178314.522299777"
"Shasta County","LAURA 2","2020-11","2020/11/23 00:00:00+00","14.0","","2729.0164","54526.1905550331","18876446.2516722"
"Shasta County","R-1 MAPES","2020-08","2020/08/13 00:00:00+00","1.0","","258.95712","10098.687357458","1817475.84728987"
"Shasta County","R-3 LITTLE FREDOYNER","2020-07","2020/07/26 00:00:00+00","1.0","","187.34305","6833.52449468374","1319820.99882305"
"Shasta County","R-2 TRUMBULL","2020-06","2020/06/28 00:00:00+00","1.0","","576.65857","15222.4112078433","4040625.44729944"
"Shasta County","R-3 SKEDDADLE","2020-06","2020/06/28 00:00:00+00","1.0","","197.50694","11419.1681781381","1376990.23661306"
"Shasta County","R-5 SNOWSTORM","2020-08","2020/08/18 00:00:00+00","1.0","","471.72025","12670.0493015371","3314899.76911153"
"Shasta County","R-5 DRY","2020-06","2020/06/28 00:00:00+00","1.0","","45.455322","3922.00498124122","316572.431749282"
"Shasta County","R-8 PINECODE","2020-08","2020/08/29 00:00:00+00","1.0","","566.49243","13005.8552290678","4002114.36479838"
"Shasta County","W-4 TERMO","2020-08","0202/08/20 00:00:00+00","1.0","","265.58286","13848.3542871965","1883874.85144638"
"Shasta County","W-5 COLD SPRINGS","2020-08","2020/09/13 00:00:00+00","1.0","","84817.273","218761.343479062","604907699.577407"
"Shasta County","WOOD","2020-02","2020/02/23 00:00:00+00","5.0","","54.357075","2872.64310006035","382484.040000494"
"Shasta County","R-6 TUNNISON","2020-07","2020/07/30 00:00:00+00","1.0","","175.14735","5068.73718757734","1227196.25744304"
"Santa Barbara County","MOCKINGBIRD","2020-06","2020/06/12 00:00:00+00","7.0","9.0","8.8859911","1631.6985451787","52979.1035749781"
"Santa Barbara County","RANCHO","2020-08","2020/08/02 00:00:00+00","11.0","1.5","1.5328448","546.406257628389","9229.66477963017"
"Santa Barbara County","PLASKETT","2020-06","2020/06/06 00:00:00+00","5.0","24.0","1.5009465","374.856733756359","9284.51962066017"
