grid_id,county,county_short,geoid,grid_km,center_lat,center_lon,row_index,col_index,is_mock,shape_model,month,monthly_fire_probability_pct,risk_score,risk_level,mock_ndvi,mock_avgtempF,mock_humid,mock_wind,county_avgtempF,county_humid,county_wind,county_precip,county_sunHour
06067_5km_0001,Sacramento County,Sacramento,06067,5.0,38.113165,-121.665924,0,0,1,county_boundary_clipped_grid,2020-08,1.33,0.2344,low,0.3496,87.12,39.07,4.93,86.84,39.71,4.77,0.0,11.52
06067_5km_0002,Sacramento County,Sacramento,06067,5.0,38.121669,-121.620499,0,1,1,county_boundary_clipped_grid,2020-08,1.33,0.2321,low,0.3467,87.01,39.33,4.87,86.84,39.71,4.77,0.0,11.52
06067_5km_0003,Sacramento County,Sacramento,06067,5.0,38.115618,-121.587126,0,2,1,county_boundary_clipped_grid,2020-08,1.33,0.2312,low,0.3456,86.96,39.43,4.84,86.84,39.71,4.77,0.0,11.52
06067_5km_0004,Sacramento County,Sacramento,06067,5.0,38.147136,-121.668932,1,0,1,county_boundary_clipped_grid,2020-08,1.33,0.2323,low,0.3469,87.01,39.32,4.87,86.84,39.71,4.77,0.0,11.52
06067_5km_0005,Sacramento County,Sacramento,06067,5.0,38.157081,-121.620499,1,1,1,county_boundary_clipped_grid,2020-08,1.33,0.2298,low,0.3438,86.89,39.6,4.8,86.84,39.71,4.77,0.0,11.52
06067_5km_0006,Sacramento County,Sacramento,06067,5.0,38.15487,-121.564027,1,2,1,county_boundary_clipped_grid,2020-08,1.33,0.2277,low,0.3411,86.78,39.83,4.8,86.84,39.71,4.77,0.0,11.52
06067_5km_0007,Sacramento County,Sacramento,06067,5.0,38.165774,-121.532087,1,3,1,county_boundary_clipped_grid,2020-08,1.33,0.2257,low,0.3386,86.68,40.06,4.86,86.84,39.71,4.77,0.0,11.52
06067_5km_0008,Sacramento County,Sacramento,06067,5.0,38.183852,-121.65247,2,0,1,county_boundary_clipped_grid,2020-08,1.33,0.2292,low,0.3431,86.86,39.66,4.79,86.84,39.71,4.77,0.0,11.52
06067_5km_0009,Sacramento County,Sacramento,06067,5.0,38.200246,-121.602065,2,1,1,county_boundary_clipped_grid,2020-08,1.33,0.2262,low,0.3393,86.71,40.0,4.84,86.84,39.71,4.77,0.0,11.52
06067_5km_0010,Sacramento County,Sacramento,06067,5.0,38.201997,-121.563147,2,2,1,county_boundary_clipped_grid,2020-08,1.33,0.2245,low,0.3372,86.63,40.18,4.89,86.84,39.71,4.77,0.0,11.52
06067_5km_0011,Sacramento County,Sacramento,06067,5.0,38.19838,-121.529695,2,3,1,county_boundary_clipped_grid,2020-08,1.33,0.2234,low,0.3359,86.57,40.31,4.92,86.84,39.71,4.77,0.0,11.52
06067_5km_0012,Sacramento County,Sacramento,06067,5.0,38.23844,-121.597006,3,1,1,county_boundary_clipped_grid,2020-08,1.33,0.2238,low,0.3363,86.59,40.27,4.91,86.84,39.71,4.77,0.0,11.52
06067_5km_0013,Sacramento County,Sacramento,06067,5.0,38.246912,-121.563147,3,2,1,county_boundary_clipped_grid,2020-08,1.33,0.222,low,0.334,86.5,40.47,4.96,86.84,39.71,4.77,0.0,11.52
06067_5km_0014,Sacramento County,Sacramento,06067,5.0,38.249873,-121.506898,3,3,1,county_boundary_clipped_grid,2020-08,1.33,0.2196,low,0.3311,86.38,40.74,5.03,86.84,39.71,4.77,0.0,11.52
06067_5km_0015,Sacramento County,Sacramento,06067,5.0,38.25407,-121.424651,3,4,1,county_boundary_clipped_grid,2020-08,1.33,0.2245,low,0.3235,86.43,40.29,5.32,86.84,39.71,4.77,0.0,11.52
06067_5km_0016,Sacramento County,Sacramento,06067,5.0,38.253139,-121.39109,3,5,1,county_boundary_clipped_grid,2020-08,1.33,0.2249,low,0.3218,86.42,40.26,5.37,86.84,39.71,4.77,0.0,11.52
06067_5km_0017,Sacramento County,Sacramento,06067,5.0,38.253265,-121.333738,3,6,1,county_boundary_clipped_grid,2020-08,1.33,0.2248,low,0.32,86.39,40.28,5.43,86.84,39.71,4.77,0.0,11.52
06067_5km_0018,Sacramento County,Sacramento,06067,5.0,38.260821,-121.276385,3,7,1,county_boundary_clipped_grid,2020-08,1.33,0.2253,low,0.3183,86.38,40.24,5.49,86.84,39.71,4.77,0.0,11.52
06067_5km_0019,Sacramento County,Sacramento,06067,5.0,38.2619,-121.219033,3,8,1,county_boundary_clipped_grid,2020-08,1.33,0.2222,low,0.3201,86.31,40.55,5.39,86.84,39.71,4.77,0.0,11.52
06067_5km_0020,Sacramento County,Sacramento,06067,5.0,38.260386,-121.178414,3,9,1,county_boundary_clipped_grid,2020-08,1.33,0.2183,low,0.3231,86.23,40.93,5.26,86.84,39.71,4.77,0.0,11.52
06067_5km_0021,Sacramento County,Sacramento,06067,5.0,38.290736,-121.598589,4,1,1,county_boundary_clipped_grid,2020-08,1.33,0.2214,low,0.3334,86.47,40.53,4.98,86.84,39.71,4.77,0.0,11.52
06067_5km_0022,Sacramento County,Sacramento,06067,5.0,38.291828,-121.563147,4,2,1,county_boundary_clipped_grid,2020-08,1.33,0.2259,low,0.3286,86.55,40.11,5.17,86.84,39.71,4.77,0.0,11.52
06067_5km_0023,Sacramento County,Sacramento,06067,5.0,38.291828,-121.505795,4,3,1,county_boundary_clipped_grid,2020-08,1.33,0.2314,low,0.3219,86.63,39.58,5.44,86.84,39.71,4.77,0.0,11.52
06067_5km_0024,Sacramento County,Sacramento,06067,5.0,38.291828,-121.448442,4,4,1,county_boundary_clipped_grid,2020-08,1.33,0.2352,low,0.3165,86.68,39.22,5.65,86.84,39.71,4.77,0.0,11.52
