"county","Year","Month","ndvi"
"Sacramento","2008","1","0.50355"
"Santa Barbara","2008","1","0.62285"
"Shasta","2008","1","0.6643"
"Sacramento","2008","2","0.5047"
"Santa Barbara","2008","2","0.7025"
"Shasta","2008","2","0.6567000000000001"
"Sacramento","2008","3","0.544"
"Santa Barbara","2008","3","0.66205"
"Shasta","2008","3","0.5753"
"Sacramento","2008","4","0.48525"
"Santa Barbara","2008","4","0.6908000000000001"
"Shasta","2008","4","0.72185"
"Sacramento","2008","5","0.3524"
"Santa Barbara","2008","5","0.6535500000000001"
"Shasta","2008","5","0.75885"
"Sacramento","2008","6","0.34065"
"Santa Barbara","2008","6","0.6488"
"Shasta","2008","6","0.7203"
"Sacramento","2008","7","0.32165"
"Santa Barbara","2008","7","0.6093500000000001"
"Shasta","2008","7","0.7259"
"Sacramento","2008","8","0.36105000000000004"
"Santa Barbara","2008","8","0.6036"
"Shasta","2008","8","0.68215"
"Sacramento","2008","9","0.32205"
"Santa Barbara","2008","9","0.62505"
"Shasta","2008","9","0.69855"
"Sacramento","2008","10","0.3294"
"Santa Barbara","2008","10","0.6263000000000001"
"Shasta","2008","10","0.70935"
"Sacramento","2008","11","0.4718"
"Santa Barbara","2008","11","0.6546000000000001"
"Shasta","2008","11","0.6719"
"Sacramento","2008","12","0.5154"
"Santa Barbara","2008","12","0.65275"
"Shasta","2008","12","0.66415"
"Sacramento","2009","1","0.5272"
"Santa Barbara","2009","1","0.6821"
"Shasta","2009","1","0.6832"
"Sacramento","2009","2","0.5384"
"Santa Barbara","2009","2","0.6878000000000001"
"Shasta","2009","2","0.66635"
"Sacramento","2009","3","0.58885"
"Santa Barbara","2009","3","0.7050500000000001"
"Shasta","2009","3","0.6772"
"Sacramento","2009","4","0.53425"
"Santa Barbara","2009","4","0.6964"
"Shasta","2009","4","0.7214"
"Sacramento","2009","5","0.42000000000000004"
"Santa Barbara","2009","5","0.7023"
"Shasta","2009","5","0.70365"
"Sacramento","2009","6","0.31995"
"Santa Barbara","2009","6","0.6524500000000001"
"Shasta","2009","6","0.72335"
"Sacramento","2009","7","0.29745"
"Santa Barbara","2009","7","0.6073000000000001"
"Shasta","2009","7","0.69325"
"Sacramento","2009","8","0.3115"
"Santa Barbara","2009","8","0.60535"
"Shasta","2009","8","0.6855"
"Sacramento","2009","9","0.32635000000000003"
"Santa Barbara","2009","9","0.6203000000000001"
"Shasta","2009","9","0.67145"
"Sacramento","2009","10","0.44160000000000005"
"Santa Barbara","2009","10","0.6381"
"Shasta","2009","10","0.7140000000000001"
"Sacramento","2009","11","0.5025000000000001"
"Santa Barbara","2009","11","0.6585000000000001"
"Shasta","2009","11","0.69815"
"Sacramento","2009","12","0.519"
"Santa Barbara","2009","12","0.6771"
"Shasta","2009","12","0.69255"
"Sacramento","2010","1","0.6162000000000001"
"Santa Barbara","2010","1","0.6928000000000001"
"Shasta","2010","1","0.68215"
"Sacramento","2010","2","0.6202000000000001"
"Santa Barbara","2010","2","0.73665"
"Shasta","2010","2","0.7170500000000001"
"Sacramento","2010","3","0.65385"
"Santa Barbara","2010","3","0.6956"
"Shasta","2010","3","0.6477"
"Sacramento","2010","4","0.61245"
"Santa Barbara","2010","4","0.7090500000000001"
"Shasta","2010","4","0.6832"
"Sacramento","2010","5","0.4631"
"Santa Barbara","2010","5","0.7212000000000001"
"Shasta","2010","5","0.7834500000000001"
"Sacramento","2010","6","0.33725"
"Santa Barbara","2010","6","0.67935"
"Shasta","2010","6","0.77835"
"Sacramento","2010","7","0.32755"
"Santa Barbara","2010","7","0.67055"
"Shasta","2010","7","0.7347"
"Sacramento","2010","8","0.3277"
"Santa Barbara","2010","8","0.65895"
"Shasta","2010","8","0.7342500000000001"
"Sacramento","2010","9","0.33290000000000003"
"Santa Barbara","2010","9","0.6445500000000001"
"Shasta","2010","9","0.71655"
"Sacramento","2010","10","0.343"
"Santa Barbara","2010","10","0.7142000000000001"
"Shasta","2010","10","0.5822"
"Sacramento","2010","11","0.45630000000000004"
"Santa Barbara","2010","11","0.71425"
"Shasta","2010","11","0.7130500000000001"
"Sacramento","2010","12","0.5679000000000001"
"Santa Barbara","2010","12","0.6898500000000001"
"Shasta","2010","12","0.69735"
"Sacramento","2011","1","0.6199"
"Santa Barbara","2011","1","0.7111000000000001"
"Shasta","2011","1","0.7088"
"Sacramento","2011","2","0.52645"
"Santa Barbara","2011","2","0.6930000000000001"
"Shasta","2011","2","0.62905"
"Sacramento","2011","3","0.6256"
"Santa Barbara","2011","3","0.68955"
"Shasta","2011","3","0.6262500000000001"
"Sacramento","2011","4","0.5598500000000001"
"Santa Barbara","2011","4","0.71035"
"Shasta","2011","4","0.70565"
"Sacramento","2011","5","0.47605000000000003"
"Santa Barbara","2011","5","0.71285"
"Shasta","2011","5","0.8098500000000001"
"Sacramento","2011","6","0.3654"
"Santa Barbara","2011","6","0.7277"
"Shasta","2011","6","0.76895"
"Sacramento","2011","7","0.34515"
"Santa Barbara","2011","7","0.7137"
"Shasta","2011","7","0.748"
"Sacramento","2011","8","0.3622"
"Santa Barbara","2011","8","0.6974"
"Shasta","2011","8","0.72775"
"Sacramento","2011","9","0.3386"
"Santa Barbara","2011","9","0.7128"
"Shasta","2011","9","0.7376"
"Sacramento","2011","10","0.4309"
"Santa Barbara","2011","10","0.6748000000000001"
"Shasta","2011","10","0.7409"
"Sacramento","2011","11","0.45320000000000005"
"Santa Barbara","2011","11","0.7010000000000001"
"Shasta","2011","11","0.71965"
"Sacramento","2011","12","0.41045000000000004"
"Santa Barbara","2011","12","0.7027"
"Shasta","2011","12","0.7053"
"Sacramento","2012","1","0.43165000000000003"
"Santa Barbara","2012","1","0.71785"
"Shasta","2012","1","0.6894"
"Sacramento","2012","2","0.48710000000000003"
"Santa Barbara","2012","2","0.7212500000000001"
"Shasta","2012","2","0.6622"
"Sacramento","2012","3","0.55245"
"Santa Barbara","2012","3","0.6801"
"Shasta","2012","3","0.6909500000000001"
"Sacramento","2012","4","0.53635"
"Santa Barbara","2012","4","0.7134"
"Shasta","2012","4","0.6972"
"Sacramento","2012","5","0.44320000000000004"
"Santa Barbara","2012","5","0.6869500000000001"
"Shasta","2012","5","0.78075"
"Sacramento","2012","6","0.32335"
"Santa Barbara","2012","6","0.6791"
"Shasta","2012","6","0.7786500000000001"
"Sacramento","2012","7","0.32080000000000003"
"Santa Barbara","2012","7","0.6283000000000001"
"Shasta","2012","7","0.7696000000000001"
"Sacramento","2012","8","0.3277"
"Santa Barbara","2012","8","0.6189"
"Shasta","2012","8","0.72535"
"Sacramento","2012","9","0.3206"
"Santa Barbara","2012","9","0.6322"
"Shasta","2012","9","0.7199"
"Sacramento","2012","10","0.39775"
"Santa Barbara","2012","10","0.6247"
"Shasta","2012","10","0.71525"
"Sacramento","2012","11","0.5477000000000001"
"Santa Barbara","2012","11","0.5996"
"Shasta","2012","11","0.6793"
"Sacramento","2012","12","0.5515"
"Santa Barbara","2012","12","0.7387"
"Shasta","2012","12","0.7815000000000001"
"Sacramento","2013","1","0.57855"
"Santa Barbara","2013","1","0.70325"
"Shasta","2013","1","0.7026"
"Sacramento","2013","2","0.5603"
"Santa Barbara","2013","2","0.73585"
"Shasta","2013","2","0.68265"
"Sacramento","2013","3","0.60195"
"Santa Barbara","2013","3","0.7228"
"Shasta","2013","3","0.6676500000000001"
"Sacramento","2013","4","0.5724"
"Santa Barbara","2013","4","0.7106"
"Shasta","2013","4","0.7329"
"Sacramento","2013","5","0.37415000000000004"
"Santa Barbara","2013","5","0.6783"
"Shasta","2013","5","0.7584500000000001"
"Sacramento","2013","6","0.33525"
"Santa Barbara","2013","6","0.62055"
"Shasta","2013","6","0.74865"
"Sacramento","2013","7","0.3241"
"Santa Barbara","2013","7","0.6053000000000001"
"Shasta","2013","7","0.7074"
"Sacramento","2013","8","0.32530000000000003"
"Santa Barbara","2013","8","0.6035"
"Shasta","2013","8","0.68965"
"Sacramento","2013","9","0.34995000000000004"
"Santa Barbara","2013","9","0.6067"
"Shasta","2013","9","0.7201000000000001"
"Sacramento","2013","10","0.33890000000000003"
"Santa Barbara","2013","10","0.6002000000000001"
"Shasta","2013","10","0.6960000000000001"
